Name;link
ACA NEOGEO THE KING OF FIGHTERS '98;https://opencritic.com/game/4087/aca-neogeo-the-king-of-fighters-98
ACA NEOGEO The Super Spy;https://opencritic.com/game/6470/aca-neogeo-the-super-spy
ACA NEOGEO Top Hunter: Roddy & Cathy;https://opencritic.com/game/5393/aca-neogeo-top-hunter-roddy-cathy
ACA NEOGEO World Heroes;https://opencritic.com/game/5298/aca-neogeo-world-heroes
ACA NEOGEO World Heroes 2;https://opencritic.com/game/5502/aca-neogeo-world-heroes-2
ACA NEOGEO World Heroes 2 Jet;https://opencritic.com/game/5855/aca-neogeo-world-heroes-2-jet
ACA NEOGEO: Blue's Journey;https://opencritic.com/game/4849/aca-neogeo-blues-journey
ACA NEOGEO: Zed Blade;https://opencritic.com/game/4848/aca-neogeo-zed-blade
ACA NeoGeo: NAM-1975;https://opencritic.com/game/4161/aca-neogeo-nam-1975
ACA NeoGeo: Puzzled;https://opencritic.com/game/10115/aca-neogeo-puzzled
ACE Academy;https://opencritic.com/game/3147/ace-academy
ACL Pro Cornhole;https://opencritic.com/game/14522/acl-pro-cornhole
ACORN Tactics;https://opencritic.com/game/5282/acorn-tactics
ADIOS Amigos;https://opencritic.com/game/6666/adios-amigos
ADOM (Ancient Domains Of Mystery);https://opencritic.com/game/6285/adom-ancient-domains-of-mystery-
ADR1FT;https://opencritic.com/game/1638/adr1ft
ADR1FT (VR);https://opencritic.com/game/2485/adr1ft-vr-
ADVERSE;https://opencritic.com/game/10802/adverse
AER: Memories of Old;https://opencritic.com/game/5051/aer-memories-of-old
AEW: Fight Forever;https://opencritic.com/game/15158/aew-fight-forever
AFFECTED - The Manor;https://opencritic.com/game/4165/affected-the-manor
AFL 23;https://opencritic.com/game/14912/afl-23
AFL Evolution;https://opencritic.com/game/4264/afl-evolution
AFL Evolution 2;https://opencritic.com/game/9281/afl-evolution-2
AFTERGRINDER;https://opencritic.com/game/4605/aftergrinder
AGOS - A Game Of Space;https://opencritic.com/game/10659/agos-a-game-of-space
AI Dungeon 2;https://opencritic.com/game/9084/ai-dungeon-2
AI War 2;https://opencritic.com/game/8510/ai-war-2
AI: THE SOMNIUM FILES - nirvanA Initiative;https://opencritic.com/game/13265/ai-the-somnium-files-nirvana-initiative
AI: The Somnium Files;https://opencritic.com/game/8243/ai-the-somnium-files
AIPD - Artificial Intelligence Police Department;https://opencritic.com/game/2205/aipd-artificial-intelligence-police-department
AIRHEART - Tales of broken Wings;https://opencritic.com/game/6405/airheart-tales-of-broken-wings
AK-xolotl;https://opencritic.com/game/15496/ak-xolotl
ALLTYNEX Second;https://opencritic.com/game/13277/alltynex-second
ALPHA-NIGHTHAWK;https://opencritic.com/game/13941/alpha-nighthawk
ALT254;https://opencritic.com/game/10123/alt254
ALUMNI - Escape Room Adventure;https://opencritic.com/game/14645/alumni-escape-room-adventure
AL･FINE;https://opencritic.com/game/3587/al-fine
ANATOMY;https://opencritic.com/game/3853/anatomy
ANGEL WHISPER - The Suspense Visual Novel Left Behind by a Game Creator;https://opencritic.com/game/15693/angel-whisper-the-suspense-visual-novel-left-behind-by-a-game-creator
ANIMALITY;https://opencritic.com/game/15100/animality
ANIMUS: Harbinger;https://opencritic.com/game/8658/animus-harbinger
ANIMUS: Revenant;https://opencritic.com/game/11583/animus-revenant
ANNIE: Last Hope;https://opencritic.com/game/9549/annie-last-hope
ANNO: Mutationem;https://opencritic.com/game/12900/anno-mutationem
ANONYMOUS;CODE;https://opencritic.com/game/15452/anonymous-code
ANVIL;https://opencritic.com/game/12431/anvil
AO International Tennis;https://opencritic.com/game/6022/ao-international-tennis
AO Tennis;https://opencritic.com/game/5416/ao-tennis
AO Tennis 2;https://opencritic.com/game/8823/ao-tennis-2
APE OUT;https://opencritic.com/game/7336/ape-out
APICO;https://opencritic.com/game/13179/apico
ARAYA;https://opencritic.com/game/3621/araya
ARAYA (VR);https://opencritic.com/game/3622/araya-vr-
ARIDA: Backland's Awakening;https://opencritic.com/game/11245/arida-backlands-awakening
ARK Park;https://opencritic.com/game/5796/ark-park
ARK: Aberration;https://opencritic.com/game/5488/ark-aberration
ARK: Extinction;https://opencritic.com/game/6904/ark-extinction
ARK: Scorched Earth;https://opencritic.com/game/3228/ark-scorched-earth
ARK: Survival Ascended;https://opencritic.com/game/15987/ark-survival-ascended
ARK: Survival of the Fittest;https://opencritic.com/game/2865/ark-survival-of-the-fittest
ARK: Genesis;https://opencritic.com/game/9127/ark-genesis
ARMA 3 Contact;https://opencritic.com/game/8041/arma-3-contact
ASCENDANCE;https://opencritic.com/game/9738/ascendance
ASCENXION;https://opencritic.com/game/11359/ascenxion
ASH;https://opencritic.com/game/2896/ash
ASOBU Tights;https://opencritic.com/game/11281/asobu-tights
ASTA Online;https://opencritic.com/game/4595/asta-online
ASTLIBRA Gaiden: The Cave of Phantom Mist;https://opencritic.com/game/16305/astlibra-gaiden-the-cave-of-phantom-mist
ASTLIBRA Revision;https://opencritic.com/game/13865/astlibra-revision
ASTRA: Knights of Veda;https://opencritic.com/game/16534/astra-knights-of-veda
AT SUNDOWN: Shots in the Dark;https://opencritic.com/game/6801/at-sundown-shots-in-the-dark
ATOM GRRRL!!;https://opencritic.com/game/2437/atom-grrrl-
ATOM RPG;https://opencritic.com/game/10223/atom-rpg
ATOM RPG: Post-apocalyptic indie game;https://opencritic.com/game/7210/atom-rpg-post-apocalyptic-indie-game
ATOM RPG: Trudograd;https://opencritic.com/game/11999/atom-rpg-trudograd
ATOMIK: RunGunJumpGun;https://opencritic.com/game/5516/atomik-rungunjumpgun
ATONE: Heart of the Elder Tree;https://opencritic.com/game/14231/atone-heart-of-the-elder-tree
ATV Renegades;https://opencritic.com/game/4033/atv-renegades
AWAY: Journey to the Unexpected;https://opencritic.com/game/7235/away-journey-to-the-unexpected
AWAY: The Survival Series;https://opencritic.com/game/12031/away-the-survival-series
Aaero;https://opencritic.com/game/4145/aaero
Aaero: Complete Edition;https://opencritic.com/game/7065/aaero-complete-edition
Aaru's Awakening;https://opencritic.com/game/47/aarus-awakening
Abalon;https://opencritic.com/game/14967/abalon
Abandon Ship;https://opencritic.com/game/8570/abandon-ship
Abermore;https://opencritic.com/game/12948/abermore
Abo Khashem;https://opencritic.com/game/5738/abo-khashem
Abomi Nation;https://opencritic.com/game/12106/abomi-nation
Aborigenus;https://opencritic.com/game/16187/aborigenus
About An Elf;https://opencritic.com/game/12692/about-an-elf
Abraca: Imagic Games;https://opencritic.com/game/2614/abraca-imagic-games
Abridge;https://opencritic.com/game/13840/abridge
Absinthia;https://opencritic.com/game/14479/absinthia
Absolute Drift: Zen Edition;https://opencritic.com/game/3236/absolute-drift-zen-edition
Absolute Tactics: Daughters of Mercy;https://opencritic.com/game/13696/absolute-tactics-daughters-of-mercy
Absolver;https://opencritic.com/game/4462/absolver
Abyss Odyssey;https://opencritic.com/game/1407/abyss-odyssey
Abyss of the Sacrifice;https://opencritic.com/game/10757/abyss-of-the-sacrifice
Abyss: The Wraiths of Eden;https://opencritic.com/game/5121/abyss-the-wraiths-of-eden
Abzu;https://opencritic.com/game/1607/abzu
